detector,detectadas,encoladas,ejecutadas,edge_desaparecido,sin_precio,sin_capacidad,pendientes_al_final
butterfly,1482,49,10,20,14,4,1
calendar,7,0,0,0,0,0,0
monotonicity,65,0,0,0,0,0,0
put_call_parity,1465,339,91,141,50,55,2
vertical_bound,158,15,2,5,6,2,0
TOTAL,3177,403,103,166,70,61,3
