exit_reason,operaciones,pnl_total,pnl_medio,hit_rate,edge_anunciado,edge_al_ejecutar,edge_capture
stop_loss,1,-2944.5999999999967,-2944.5999999999967,0.0,410.6586741233277,324.88047412332816,-7.170431761331026
end_of_data,8,1818.1345666666605,227.26682083333256,1.0,1625.3311442565105,897.2764442565119,1.118624086600116
expiry,80,17174.749166666646,214.6843645833331,1.0,19349.545487693864,12811.704872693823,0.8876047852178043
