detector,operaciones,pnl_total,pnl_medio,hit_rate,edge_anunciado,edge_al_ejecutar,edge_capture
vertical_bound,1,-2162.6499999999987,-2162.6499999999987,0.0,563.7177499999998,191.45000000000067,-3.8364057189967844
monotonicity,2,27.9,13.95,1.0,194.52575000000004,27.89999999999997,0.14342574183623502
butterfly,6,180.60116666666664,30.10019444444444,0.8333333333333334,1325.329604166666,503.71041666666656,0.1362688693430523
put_call_parity,75,12476.529750000009,166.35373000000013,0.96,19144.905524129514,14492.111024129506,0.6516892827846584
