position_id,detector,underlying,signal_at,opened_at,closed_at,entry_cash,exit_cash,commission,pnl,predicted_edge,execution_edge,edge_capture,exit_reason
0,put_call_parity,BA,2026-03-02 21:00:00+00:00,2026-03-04 14:30:00+00:00,2026-03-20 20:00:00+00:00,23266.25,-23250.0,1.9500000000000002,14.3,125.73470890410991,21.60170890410809,0.11373152349607558,expiry
1,put_call_parity,BA,2026-03-02 21:00:00+00:00,2026-03-04 14:30:00+00:00,2026-03-20 20:00:00+00:00,22413.4,-22250.0,1.9500000000000002,161.45000000000147,118.80795890411004,168.75170890411317,1.3589156946152727,expiry
2,put_call_parity,BA,2026-03-05 21:00:00+00:00,2026-03-09 13:30:00+00:00,2026-03-20 20:00:00+00:00,24096.575,-23750.0,1.9500000000000002,344.62500000000074,152.48570205479444,350.8252020547945,2.2600479609305446,expiry
3,butterfly,LMT,2026-03-05 21:00:00+00:00,2026-03-09 13:30:00+00:00,2026-03-20 20:00:00+00:00,186.4749999999999,0.0,1.9500000000000002,184.52499999999992,126.63312499999994,184.52499999999998,1.4571621761683604,expiry
4,butterfly,LMT,2026-03-05 21:00:00+00:00,2026-03-09 13:30:00+00:00,2026-03-20 20:00:00+00:00,167.85416666666652,0.0,1.9500000000000002,165.90416666666653,126.32391666666656,165.90416666666655,1.3133234865131767,expiry
5,put_call_parity,BA,2026-03-06 21:00:00+00:00,2026-03-09 13:30:00+00:00,2026-03-20 20:00:00+00:00,22567.625,-22500.0,1.9500000000000002,65.675,496.5218053652978,71.74405536529521,0.13227012246054737,expiry
6,put_call_parity,LMT,2026-03-09 20:00:00+00:00,2026-03-11 13:30:00+00:00,2026-04-17 20:00:00+00:00,-64978.350000000006,65500.0,1.9500000000000002,519.6999999999941,359.56830387668487,224.58255387667595,1.445344304258328,expiry
7,put_call_parity,BA,2026-03-11 20:00:00+00:00,2026-03-13 13:30:00+00:00,2026-03-20 20:00:00+00:00,-21973.15,22250.0,1.9500000000000002,274.89999999999856,131.98368226582795,253.24543226582608,2.0828332357504866,expiry
8,put_call_parity,BA,2026-03-11 20:00:00+00:00,2026-03-13 13:30:00+00:00,2026-03-20 20:00:00+00:00,-21948.0,22000.0,1.9500000000000002,50.05,126.41378134149262,28.65728134149249,0.39592202265349175,expiry
11,put_call_parity,LMT,2026-03-13 20:00:00+00:00,2026-03-16 13:30:00+00:00,2026-03-20 20:00:00+00:00,-66095.25,66250.0,1.9500000000000002,152.8,285.71521250263066,100.47371250263241,0.5347982652432031,expiry
9,put_call_parity,LMT,2026-03-12 20:00:00+00:00,2026-03-16 13:30:00+00:00,2026-03-20 20:00:00+00:00,-64903.65,65000.0,1.9500000000000002,94.39999999999854,380.69999645309946,35.5302464531007,0.247964278643297,expiry
10,put_call_parity,LMT,2026-03-13 20:00:00+00:00,2026-03-16 13:30:00+00:00,2026-03-20 20:00:00+00:00,-65652.55,65750.0,1.9500000000000002,95.49999999999709,324.2970807101581,43.581080710154495,0.29448307024801934,expiry
12,put_call_parity,BA,2026-03-20 20:00:00+00:00,2026-03-23 13:30:00+00:00,2026-04-17 20:00:00+00:00,-22890.35,23000.0,1.9500000000000002,107.70000000000145,311.41380383860786,34.48580383860754,0.3458420875133,expiry
13,butterfly,BA,2026-03-20 20:00:00+00:00,2026-03-23 13:30:00+00:00,2026-04-17 20:00:00+00:00,202.27499999999964,168.99999999999977,1.9500000000000002,369.3249999999994,105.83287500000019,200.32499999999996,3.489700152244742,expiry
14,put_call_parity,LMT,2026-03-30 20:00:00+00:00,2026-04-01 13:30:00+00:00,2026-04-17 20:00:00+00:00,-64269.12500000001,65000.0,1.9500000000000002,728.9249999999927,518.5250381902383,594.4847881902417,1.4057662529549095,expiry
15,put_call_parity,BA,2026-04-01 20:00:00+00:00,2026-04-06 13:30:00+00:00,2026-04-17 20:00:00+00:00,-23215.925,23500.0,1.9500000000000002,282.12500000000074,22.41243490357635,240.03493490357795,12.587878167355305,expiry
17,put_call_parity,LMT,2026-04-07 20:00:00+00:00,2026-04-09 13:30:00+00:00,2026-05-15 20:00:00+00:00,-61935.65,62500.0,1.9500000000000002,562.3999999999985,47.52905259366375,288.1198025936712,11.832762685342772,expiry
16,put_call_parity,LMT,2026-04-07 20:00:00+00:00,2026-04-09 13:30:00+00:00,2026-04-17 20:00:00+00:00,-64655.95,65000.0,1.9500000000000002,342.1000000000029,271.18636454104546,268.1091145410566,1.2614941041706553,expiry
18,put_call_parity,LMT,2026-04-08 20:00:00+00:00,2026-04-10 13:30:00+00:00,2026-04-17 20:00:00+00:00,65411.7,-65000.0,1.9500000000000002,409.7499999999971,204.2893460186329,378.8683460186323,2.0057335734122153,expiry
19,put_call_parity,RTX,2026-04-08 20:00:00+00:00,2026-04-10 13:30:00+00:00,2026-04-17 20:00:00+00:00,19577.55,-19500.0,1.9500000000000002,75.59999999999927,100.30033954217163,71.73233954217285,0.7537362320514677,expiry
22,put_call_parity,BA,2026-04-13 20:00:00+00:00,2026-04-15 13:30:00+00:00,2026-05-15 20:00:00+00:00,19015.925,-19000.0,1.9500000000000002,13.974999999999273,145.80114383561465,25.36264383561429,0.09584972814586122,expiry
21,put_call_parity,BA,2026-04-13 20:00:00+00:00,2026-04-15 13:30:00+00:00,2026-05-15 20:00:00+00:00,20504.75,-20500.0,1.9500000000000002,2.8,210.67489383561423,14.187643835615017,0.013290620201687576,expiry
20,put_call_parity,BA,2026-04-13 20:00:00+00:00,2026-04-15 13:30:00+00:00,2026-05-15 20:00:00+00:00,19502.4,-19500.0,1.9500000000000002,0.450000000001455,283.97689383561493,11.837643835616472,0.0015846359678190773,expiry
23,put_call_parity,RTX,2026-04-15 20:00:00+00:00,2026-04-17 13:30:00+00:00,2026-05-15 20:00:00+00:00,-18802.0,19000.0,1.9500000000000002,196.05,46.540672095011885,131.44592209501133,4.212444538827624,expiry
24,put_call_parity,RTX,2026-04-15 20:00:00+00:00,2026-04-17 13:30:00+00:00,2026-05-15 20:00:00+00:00,-19307.675,19500.0,1.9500000000000002,190.37500000000074,15.607893729090694,124.02739372909055,12.197353679130403,expiry
25,put_call_parity,RTX,2026-04-15 20:00:00+00:00,2026-04-17 13:30:00+00:00,2026-05-15 20:00:00+00:00,-19816.375,20000.0,1.9500000000000002,181.675,12.666865363169666,113.58386536317194,14.342538172722707,expiry
26,butterfly,LMT,2026-04-20 20:00:00+00:00,2026-04-22 13:30:00+00:00,2026-05-15 20:00:00+00:00,53.05000000000001,0.0,1.9500000000000002,51.10000000000001,252.22499999999997,51.10000000000001,0.20259688769947473,expiry
