detector,detectadas,encoladas,ejecutadas,edge_desaparecido,sin_precio,sin_capacidad,pendientes_al_final
butterfly,804,44,6,23,13,1,1
calendar,3,0,0,0,0,0,0
monotonicity,46,2,2,0,0,0,0
put_call_parity,1188,332,75,190,45,20,2
vertical_bound,75,9,1,2,5,1,0
TOTAL,2116,387,84,215,63,22,3
