position_id,detector,underlying,signal_at,opened_at,closed_at,entry_cash,exit_cash,commission,pnl,predicted_edge,execution_edge,edge_capture,exit_reason
0,put_call_parity,LMT,2026-03-02 21:00:00+00:00,2026-03-04 14:30:00+00:00,2026-03-20 20:00:00+00:00,66878.425,-65500.0,1.9500000000000002,1376.4750000000029,250.9617634614015,1308.2617634614028,5.484799680297544,expiry
1,put_call_parity,BA,2026-03-05 21:00:00+00:00,2026-03-09 13:30:00+00:00,2026-03-20 20:00:00+00:00,24096.575,-23750.0,1.9500000000000002,344.62500000000074,168.2502020547943,350.8252020547945,2.048288773452802,expiry
2,butterfly,BA,2026-03-05 21:00:00+00:00,2026-03-09 13:30:00+00:00,2026-03-20 20:00:00+00:00,105.87500000000011,0.0,1.9500000000000002,103.92500000000011,166.04999999999998,103.92500000000008,0.6258657031014762,expiry
3,put_call_parity,BA,2026-03-05 21:00:00+00:00,2026-03-09 13:30:00+00:00,2026-03-20 20:00:00+00:00,22806.5,-22750.0,1.9500000000000002,54.55,157.67520205479434,60.750202054793775,0.3459643576739677,expiry
4,put_call_parity,LMT,2026-03-06 21:00:00+00:00,2026-03-09 13:30:00+00:00,2026-03-20 20:00:00+00:00,66074.6,-65500.0,1.9500000000000002,572.6500000000058,200.95904586477872,520.3840458647785,2.849585583648374,expiry
5,monotonicity,LMT,2026-03-09 20:00:00+00:00,2026-03-11 13:30:00+00:00,2026-04-17 20:00:00+00:00,29.77500000000009,0.0,1.3,28.47500000000009,341.04999999999967,28.474999999999863,0.08349215657528256,expiry
6,put_call_parity,RTX,2026-03-19 20:00:00+00:00,2026-03-23 13:30:00+00:00,2026-04-17 20:00:00+00:00,-19344.775,19500.0,1.9500000000000002,153.27499999999856,5.5901558783934115,89.19015587839313,27.418734528034157,expiry
7,put_call_parity,BA,2026-03-20 20:00:00+00:00,2026-03-23 13:30:00+00:00,2026-04-17 20:00:00+00:00,22660.9,-22500.0,1.9500000000000002,158.95000000000147,78.1340547945204,168.08405479452193,2.034324219036291,expiry
8,butterfly,LMT,2026-03-24 20:00:00+00:00,2026-03-26 13:30:00+00:00,2026-04-17 20:00:00+00:00,285.9375,0.0,1.9500000000000002,283.9875,18.09999999999999,283.98749999999995,15.689917127071832,expiry
9,put_call_parity,BA,2026-03-25 20:00:00+00:00,2026-03-27 13:30:00+00:00,2026-04-17 20:00:00+00:00,23511.775,-23500.0,1.9500000000000002,9.825000000001456,35.23908219178206,17.76408219178411,0.2788097586234155,expiry
10,put_call_parity,LMT,2026-03-30 20:00:00+00:00,2026-04-01 13:30:00+00:00,2026-04-17 20:00:00+00:00,-64269.12500000001,65000.0,1.9500000000000002,728.9249999999927,119.23478819023909,594.4847881902417,6.113358450698071,expiry
12,put_call_parity,BA,2026-04-01 20:00:00+00:00,2026-04-06 13:30:00+00:00,2026-05-15 20:00:00+00:00,-20250.725,20500.0,1.9500000000000002,247.32500000000147,53.69118665117973,144.21618665118075,4.606435719270271,expiry
11,put_call_parity,BA,2026-04-01 20:00:00+00:00,2026-04-06 13:30:00+00:00,2026-05-15 20:00:00+00:00,-19214.175,19500.0,1.9500000000000002,283.87500000000074,119.05137266819493,185.87637266819655,2.3844748165246408,expiry
13,monotonicity,LMT,2026-04-06 20:00:00+00:00,2026-04-08 13:30:00+00:00,2026-04-17 20:00:00+00:00,889.625,500.0,1.3,1388.325,269.9499999999999,888.3249999999999,5.142896832746808,expiry
14,put_call_parity,LMT,2026-04-07 20:00:00+00:00,2026-04-09 13:30:00+00:00,2026-04-17 20:00:00+00:00,-64655.95,65000.0,1.9500000000000002,342.1000000000029,132.43411454104555,268.1091145410566,2.583171271130259,expiry
15,put_call_parity,BA,2026-04-17 20:00:00+00:00,2026-04-20 13:30:00+00:00,2026-05-15 20:00:00+00:00,-19365.55,19500.0,1.9500000000000002,132.50000000000074,450.05318151534203,70.67818151534375,0.2944096507747583,expiry
16,butterfly,LMT,2026-04-20 20:00:00+00:00,2026-04-22 13:30:00+00:00,2026-05-15 20:00:00+00:00,53.05000000000001,0.0,1.9500000000000002,51.10000000000001,260.9375,51.09999999999995,0.19583233532934136,expiry
17,butterfly,LMT,2026-04-20 20:00:00+00:00,2026-04-22 13:30:00+00:00,2026-05-15 20:00:00+00:00,55.61250000000001,0.0,1.9500000000000002,53.66250000000001,247.61249999999995,53.66249999999995,0.21671967287596555,expiry
18,monotonicity,LMT,2026-04-20 20:00:00+00:00,2026-04-22 13:30:00+00:00,2026-05-15 20:00:00+00:00,7.9500000000000455,0.0,1.3,6.650000000000046,185.22499999999997,6.650000000000046,0.03590228100958319,expiry
19,put_call_parity,BA,2026-04-30 20:00:00+00:00,2026-05-04 13:30:00+00:00,2026-05-15 20:00:00+00:00,19091.725000000002,-19000.0,1.9500000000000002,89.77500000000218,199.65609589041102,96.13109589041342,0.4496481792836351,expiry
