detector,operaciones,pnl_total,pnl_medio,hit_rate,edge_anunciado,edge_al_ejecutar,edge_capture
vertical_bound,2,235.96000000000043,117.98000000000022,1.0,793.549500000001,520.2100000000002,0.2973475504678664
butterfly,10,1001.2064916666668,100.12064916666668,0.8,2272.6794816666675,1153.3391666666657,0.4405401200403468
put_call_parity,91,16949.1081,186.25393516483518,0.978021978021978,23554.315156570283,17071.296756570267,0.7195754997475351
