position_id,detector,underlying,signal_at,opened_at,closed_at,entry_cash,exit_cash,commission,pnl,predicted_edge,execution_edge,edge_capture,exit_reason
30,butterfly,LMT,2026-04-20 20:00:00+00:00,2026-04-22 13:30:00+00:00,2026-05-15 20:00:00+00:00,66.945,0.0,1.9500000000000002,64.99499999999999,267.375,64.99499999999993,0.24308555399719492,expiry
32,vertical_bound,BA,2026-04-27 20:00:00+00:00,2026-04-29 13:30:00+00:00,2026-05-15 20:00:00+00:00,1072.08,-1000.0,1.3,70.77999999999993,297.4499999999997,70.7799999999997,0.23795595898470331,expiry
33,put_call_parity,BA,2026-04-30 20:00:00+00:00,2026-05-04 13:30:00+00:00,2026-05-15 20:00:00+00:00,19144.09,-19000.0,1.9500000000000002,142.14000000000016,254.40609589041097,148.49609589041137,0.5587130273058747,expiry
34,vertical_bound,RTX,2026-05-06 20:00:00+00:00,2026-05-08 13:30:00+00:00,2026-05-15 20:00:00+00:00,269.8399999999999,-250.0,1.3,18.539999999999917,300.07999999999964,18.539999999999917,0.06178352439349487,expiry
35,put_call_parity,BA,2026-05-11 20:00:00+00:00,2026-05-13 13:30:00+00:00,2026-06-18 20:00:00+00:00,-21024.69,21500.0,1.9500000000000002,473.3600000000013,120.56001209222042,380.0900120922226,3.9263433354495048,expiry
36,put_call_parity,BA,2026-05-12 20:00:00+00:00,2026-05-14 13:30:00+00:00,2026-06-18 20:00:00+00:00,21900.14,-21500.0,1.9500000000000002,398.18999999999943,254.7157397260276,411.84573972602374,1.5632720633137662,expiry
37,butterfly,BA,2026-05-12 20:00:00+00:00,2026-05-14 13:30:00+00:00,2026-06-18 20:00:00+00:00,232.76666666666688,242.66666666666669,1.9500000000000002,473.4833333333336,206.7866666666668,230.81666666666723,2.289718872912502,expiry
38,put_call_parity,RTX,2026-05-15 20:00:00+00:00,2026-05-18 13:30:00+00:00,2026-06-18 20:00:00+00:00,-19287.420000000002,19500.0,1.9500000000000002,210.62999999999812,35.183979394809654,135.23397939480782,5.986531473215628,expiry
39,butterfly,BA,2026-05-18 20:00:00+00:00,2026-05-20 13:30:00+00:00,2026-06-18 20:00:00+00:00,44.32499999999982,135.99999999999994,1.9500000000000002,178.37499999999977,56.020000000000074,42.374999999999865,3.184130667618699,expiry
40,butterfly,BA,2026-05-20 20:00:00+00:00,2026-05-22 13:30:00+00:00,2026-06-18 20:00:00+00:00,90.31249999999977,119.50000000000003,1.9500000000000002,207.8624999999998,25.01500000000004,88.36249999999977,8.309514291425124,expiry
41,put_call_parity,BA,2026-05-22 20:00:00+00:00,2026-05-26 13:30:00+00:00,2026-06-18 20:00:00+00:00,-21621.96,21750.0,1.9500000000000002,126.09000000000087,28.078948055690923,59.468948055691,4.490552842290168,expiry
